1800 [Storia e Mitologia]: Chi era il dio greco del sole, della musica e della profezia? | Apollo, Ares, Ermes, Efesto | Ans: Apollo
1801 [Storia e Mitologia]: Quale imperatore romano nominò il suo cavallo senatore? | Nerone, Caligola, Commodo, Tiberio | Ans: Caligola
1802 [Storia e Mitologia]: Come si chiamava l'uccello mitologico che rinasceva dalle proprie ceneri? | Grifone, Ippogrifo, Fenice, Basilisco | Ans: Fenice
1803 [Storia e Mitologia]: In quale anno è caduto l'Impero Romano d'Occidente? | 410 d.C., 476 d.C., 1453 d.C., 395 d.C. | Ans: 476 d.C.
1804 [Storia e Mitologia]: Chi è il dio norreno del tuono? | Odino, Loki, Thor, Balder | Ans: Thor
1805 [Storia e Mitologia]: Quale celebre figura storica guidò le truppe francesi nella Guerra dei cent'anni? | Maria Antonietta, Caterina de' Medici, Giovanna d'Arco, Eleonora d'Aquitania | Ans: Giovanna d'Arco
1806 [Storia e Mitologia]: Chi fondò l'Impero Mongolo? | Tamerlano, Kublai Khan, Attila, Gengis Khan | Ans: Gengis Khan
1807 [Storia e Mitologia]: Quale dea greca è nata dalla testa di Zeus? | Afrodite, Artemide, Atena, Era | Ans: Atena
1808 [Storia e Mitologia]: Chi fu il primo Presidente degli Stati Uniti d'America? | Thomas Jefferson, George Washington, Abraham Lincoln, John Adams | Ans: George Washington
1809 [Storia e Mitologia]: Quale fiume infernale era attraversato dalle anime dei morti sulla barca di Caronte? | Stige, Acheronte, Lete, Flegetonte | Ans: Acheronte
1810 [Storia e Mitologia]: Chi era la regina d'Egitto amante di Giulio Cesare e Marco Antonio? | Nefertiti, Hatshepsut, Cleopatra, Nefertari | Ans: Cleopatra
1811 [Storia e Mitologia]: Come si chiamava l'eroe greco il cui unico punto debole era il tallone? | Teseo, Perseo, Achille, Ercole | Ans: Achille
1812 [Storia e Mitologia]: Quale faraone egizio è famoso per la sua tomba quasi intatta scoperta nel 1922? | Tutankhamon, Ramses II, Akhenaton, Cheope | Ans: Tutankhamon
1813 [Storia e Mitologia]: A chi è attribuita la stesura dei poemi epici Iliade e Odissea? | Esiodo, Virgilio, Sofocle, Omero | Ans: Omero
1814 [Storia e Mitologia]: In quale celebre battaglia del 1815 Napoleone Bonaparte fu sconfitto definitivamente? | Austerlitz, Lipsia, Trafalgar, Waterloo | Ans: Waterloo
1815 [Storia e Mitologia]: Quale re di Macedonia conquistò l'Impero Persiano spingendosi fino all'India? | Filippo II, Tolomeo, Alessandro Magno, Seleuco | Ans: Alessandro Magno
1816 [Storia e Mitologia]: Chi era il dio romano della guerra? | Marte, Giove, Nettuno, Apollo | Ans: Marte
1817 [Storia e Mitologia]: Chi guidò la grande rivolta degli schiavi contro Roma tra il 73 e il 71 a.C.? | Crixo, Spartaco, Enomao, Vercingetorige | Ans: Spartaco
1818 [Storia e Mitologia]: Quale mostro della mitologia greca aveva serpenti al posto dei capelli e pietrificava con lo sguardo? | Chimera, Idra, Medusa, Sfinge | Ans: Medusa
1819 [Storia e Mitologia]: In quale anno scoppiò ufficialmente la Rivoluzione Francese con la presa della Bastiglia? | 1776, 1789, 1792, 1804 | Ans: 1789
