900: In quale città si sono tenute le Olimpiadi estive del 2008? | Pechino, Londra, Atene, Sydney | Ans: 0 (Pechino)
901: Quanti giocatori ci sono in una squadra di pallavolo in campo? | 5, 6, 7, 11 | Ans: 1 (6)
902: Quale nazione ha vinto più Coppe del Mondo FIFA maschili? | Germania, Italia, Brasile, Argentina | Ans: 2 (Brasile)
903: Come si chiama l'attrezzo usato per colpire la pallina nel golf? | Mazza, Bastone, Racchetta, Stecca | Ans: 1 (Bastone)
904: Qual è la durata di un tempo in una partita di calcio regolamentare? | 40 minuti, 45 minuti, 50 minuti, 60 minuti | Ans: 1 (45 minuti)
905: Quale tennista ha vinto il maggior numero di tornei del Grande Slam in singolare maschile? | Roger Federer, Rafael Nadal, Novak Djokovic, Pete Sampras | Ans: 2 (Novak Djokovic)
906: In che sport si usa il termine 'Touchdown'? | Rugby, Football americano, Baseball, Hockey | Ans: 1 (Football americano)
907: Quanti metri è lunga la gara di velocità regina dell'atletica leggera? | 100 metri, 200 metri, 400 metri, 1000 metri | Ans: 0 (100 metri)
908: Qual è il colore della maglia del leader della classifica generale al Tour de France? | Rosa, Gialla, Rossa, Verde | Ans: 1 (Gialla)
909: Quale squadra di Formula 1 ha come simbolo il Cavallino Rampante? | Mercedes, McLaren, Ferrari, Red Bull | Ans: 2 (Ferrari)
910: In quale sport eccelleva Michael Jordan? | Baseball, Pallacanestro, Golf, Football americano | Ans: 1 (Pallacanestro)
911: Quante buche ha un campo da golf standard? | 9, 18, 27, 36 | Ans: 1 (18)
912: Quale nuotatore americano ha vinto 23 medaglie d'oro olimpiche? | Mark Spitz, Ian Thorpe, Michael Phelps, Ryan Lochte | Ans: 2 (Michael Phelps)
913: In che anno l'Italia ha vinto il suo ultimo Mondiale di calcio maschile? | 1982, 1994, 2006, 2010 | Ans: 2 (2006)
914: Come si chiama l'area in cui si svolge un incontro di pugilato? | Campo, Pista, Ring, Tatami | Ans: 2 (Ring)
915: Quale di questi sport non fa parte del triathlon moderno? | Nuoto, Ciclismo, Scherma, Corsa | Ans: 2 (Scherma)
916: Quanti punti vale un tiro libero nel basket? | 1, 2, 3, 4 | Ans: 0 (1)
917: In quale specialità dell'atletica leggera si usa il termine 'Fosbury Flop'? | Salto in lungo, Salto in alto, Salto con l'asta, Salto triplo | Ans: 1 (Salto in alto)
918: Che colore ha la cintura più alta nel judo e nel karate? | Marrone, Nera, Rossa, Bianca | Ans: 1 (Nera)
919: In che paese è nato il judo? | Cina, Corea del Sud, Giappone, Thailandia | Ans: 2 (Giappone)
920: Chi è noto come 'Il Pibe de Oro'? | Pelé, Diego Armando Maradona, Lionel Messi, Cristiano Ronaldo | Ans: 1 (Diego Armando Maradona)
921: In quale sport si utilizza una palla ovale? | Calcio, Pallavolo, Rugby, Pallanuoto | Ans: 2 (Rugby)
922: Quale competizione ciclistica è nota come 'Corsa Rosa'? | Tour de France, Vuelta a España, Giro d'Italia, Milano-Sanremo | Ans: 2 (Giro d'Italia)
923: Quanti giocatori compongono una squadra di baseball in campo? | 7, 9, 11, 5 | Ans: 1 (9)
924: Qual è lo sport di squadra più popolare in India? | Calcio, Cricket, Hockey su prato, Badminton | Ans: 1 (Cricket)
925: In quale nazione sono nati i Giochi Olimpici antichi? | Roma, Grecia, Egitto, Persia | Ans: 1 (Grecia)
926: Quale sciatore italiano era noto come 'La Bomba'? | Alberto Tomba, Gustav Thöni, Kristian Ghedina, Piero Gros | Ans: 0 (Alberto Tomba)
927: In quale sport i giocatori spazzano il ghiaccio davanti a una pietra di granito? | Hockey su ghiaccio, Pattinaggio di figura, Curling, Short track | Ans: 2 (Curling)
928: Quanti round dura un incontro professionistico titolato di pugilato maschile? | 10, 12, 15, 8 | Ans: 1 (12)
929: Come si chiama la mossa in cui si fa scacco al Re negli scacchi? | Scacco matto, En passant, Arrocco, Promozione | Ans: 0 (Scacco matto)
930: Quale di questi stili di nuoto è considerato il più veloce? | Rana, Dorso, Farfalla, Stile libero (Crawl) | Ans: 3 (Stile libero (Crawl))
931: Quale squadra di calcio gioca le partite casalinghe nello stadio 'Santiago Bernabéu'? | Barcellona, Atletico Madrid, Real Madrid, Siviglia | Ans: 2 (Real Madrid)
932: In quale sport si esegue una 'Schiacciata'? | Tennis, Pallavolo, Badminton, Tutte le precedenti | Ans: 3 (Tutte le precedenti)
